comentario,tokens_limpios,features
"Compré un protector solar que uso siempre, y el precio fue lo mejor que encontré en el cyber, amo falabella","['compré', 'protector', 'solar', 'uso', 'siempre', 'precio', 'mejor', 'encontré', 'cyber', 'amo', 'falabella']",[0. 0. 0. ... 0. 0. 0.]
Llegó tiempo estimado,"['llegó', 'tiempo', 'estimado']",[0. 0. 0. ... 0. 0. 0.]
"Lo esperado, entrega rápida","['esperado', 'entrega', 'rápida']",[0. 0. 0. ... 0. 0. 0.]
"Excelente calidad, deja la piel protegida , hidratada.","['excelente', 'calidad', 'deja', 'piel', 'protegida', 'hidratada']",[0. 0. 0. ... 0. 0. 0.]
Es de muy buena calidad Es igual a la foto,"['buena', 'calidad', 'igual', 'foto']",[0. 0. 0. ... 0. 0. 0.]
"Excelente, fácil de esparcir y no queda grasoso","['excelente', 'fácil', 'esparcir', 'queda', 'grasoso']",[0. 0. 0. ... 0. 0. 0.]
"Lo compro cada que se me va a acabar, lo uso diario en el día y en la noche. Muy recomendado 👍🏻","['compro', 'cada', 'va', 'acabar', 'uso', 'diario', 'día', 'noche', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
"El bloqueador es tal cual a como se muestra en la foto, la compra la pedí para retiro y fue muy rápido","['bloqueador', 'tal', 'muestra', 'foto', 'compra', 'pedí', 'retiro', 'rápido']",[0. 0. 0. ... 0. 0. 0.]
El mejor protector solar del mundo,"['mejor', 'protector', 'solar', 'mundo']",[0. 0. 0. ... 0. 0. 0.]
"Es definitivamente mi bloqueador favorito, la textura es súper ligera, se absorbe rápido, no deja residuo blanco y lo mejor es que no arde en los ojos","['definitivamente', 'bloqueador', 'favorito', 'textura', 'súper', 'ligera', 'absorbe', 'rápido', 'deja', 'residuo', 'blanco', 'mejor', 'arde', 'ojos']",[0. 0. 0. ... 0. 0. 0.]
En cuanto al tamaño se esperaba más grande: no es igual a la foto pero si de excelente calidad…,"['cuanto', 'tamaño', 'esperaba', 'grande', 'igual', 'foto', 'si', 'excelente', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
Liguero y se absorve rapido,"['liguero', 'absorve', 'rapido']",[0. 0. 0. ... 0. 0. 0.]
Publicado originalmente en falabella.com.co,"['publicado', 'originalmente', 'falabellacomco']",[0. 0. 0. ... 0. 0. 0.]
Bloqueador ideal ya que no deja la piel grasosa como otros bloqueadores para el rostro,"['bloqueador', 'ideal', 'deja', 'piel', 'grasosa', 'bloqueadores', 'rostro']",[0. 0. 0. ... 0. 0. 0.]
Es un producto estrella de esta marca. Bien merecido los premios. El mejor bloqueador de rostro sin duda alguna,"['producto', 'estrella', 'marca', 'bien', 'merecido', 'premios', 'mejor', 'bloqueador', 'rostro', 'duda', 'alguna']",[0. 0. 0. ... 0. 0. 0.]
Es un excelente producto cumple mis expectativas,"['excelente', 'producto', 'cumple', 'expectativas']",[0. 0. 0. ... 0. 0. 0.]
Producto muy ligero y no me causa irritación en los ojos,"['producto', 'ligero', 'causa', 'irritación', 'ojos']",[0. 0. 0. ... 0. 0. 0.]
"Excelente producto, textura suave","['excelente', 'producto', 'textura', 'suave']",[0. 0. 0. ... 0. 0. 0.]
La calidad que promete es cierta a demás el tamaño es ideal para llevarlo en el bolso siempre,"['calidad', 'promete', 'cierta', 'demás', 'tamaño', 'ideal', 'llevarlo', 'bolso', 'siempre']",[0. 0. 0. ... 0. 0. 0.]
Me gusta no me hace transpirar,"['gusta', 'hace', 'transpirar']",[0. 0. 0. ... 0. 0. 0.]
"Ideal para tener en bolsillo o cartera, cómodo tamaño, calidad excelente y sin dudas, cumple con el objetivo, cuidado al rostro, para una piel más sana y bella.","['ideal', 'tener', 'bolsillo', 'cartera', 'cómodo', 'tamaño', 'calidad', 'excelente', 'dudas', 'cumple', 'objetivo', 'cuidado', 'rostro', 'piel', 'sana', 'bella']",[0. 0. 0. ... 0. 0. 0.]
"Es el mismo producto, igual a la foto y de muy buena calidad","['mismo', 'producto', 'igual', 'foto', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
"Es muy bueno para la piel, la mejor compra y al mejor precio","['bueno', 'piel', 'mejor', 'compra', 'mejor', 'precio']",[0. 0. 0. ... 0. 0. 0.]
"Me encantó, ya que no era de usar cremas o protectores solares porque me dejaban la cara grasosa. Ese protector al ser mas liquido no deja ese efecto. Ademas que con una pequeña cantidad alcanza para toda la cara.","['encantó', 'usar', 'cremas', 'protectores', 'solares', 'dejaban', 'cara', 'grasosa', 'protector', 'ser', 'mas', 'liquido', 'deja', 'efecto', 'ademas', 'pequeña', 'cantidad', 'alcanza', 'toda', 'cara']",[0. 0. 0. ... 0. 0. 0.]
"el tamaño corresponde (es pequeño), muy buena calidad y textura ligera","['tamaño', 'corresponde', 'pequeño', 'buena', 'calidad', 'textura', 'ligera']",[0. 0. 0. ... 0. 0. 0.]
Este producto es tal como se describe. Es de muy buena calidad y protege de manera eficaz.,"['producto', 'tal', 'describe', 'buena', 'calidad', 'protege', 'manera', 'eficaz']",[0. 0. 0. ... 0. 0. 0.]
Es un producto excelente ! Tamaño perfecto oracel bolos ! Además de su buen precio Es un producto excelente ! Tamaño perfecto para el bolso ! Además de su buen precio,"['producto', 'excelente', 'tamaño', 'perfecto', 'oracel', 'bolos', 'además', 'buen', 'precio', 'producto', 'excelente', 'tamaño', 'perfecto', 'bolso', 'además', 'buen', 'precio']",[0. 0. 0. ... 0. 0. 0.]
"Buen producto, llevo meses usándolo y me encanta. No deja la piel grasosa, se absorbe muy rápido. tiene el tamaño ideal para llevarlo a todos lados","['buen', 'producto', 'llevo', 'meses', 'usándolo', 'encanta', 'deja', 'piel', 'grasosa', 'absorbe', 'rápido', 'tamaño', 'ideal', 'llevarlo', 'lados']",[0. 0. 0. ... 0. 0. 0.]
"Llego el producto en muy buenas condiciones, el bloqueador es ideal para todo tipo de piel","['llego', 'producto', 'buenas', 'condiciones', 'bloqueador', 'ideal', 'tipo', 'piel']",[0. 0. 0. ... 0. 0. 0.]
Excelente producto cumple con todas las especificaciones descritas . Lo recomiendo,"['excelente', 'producto', 'cumple', 'todas', 'especificaciones', 'descritas', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
"El tamaño corresponde, el precio estuvo perfecto comparado con otras tiendas y el producto en si es excelente para piel grasa.","['tamaño', 'corresponde', 'precio', 'perfecto', 'comparado', 'tiendas', 'producto', 'si', 'excelente', 'piel', 'grasa']",[0. 0. 0. ... 0. 0. 0.]
Un excelente protector solar,"['excelente', 'protector', 'solar']",[0. 0. 0. ... 0. 0. 0.]
"El producto es de excelente calidad, el tamaño es adecuado, llega en perfectas condiciones","['producto', 'excelente', 'calidad', 'tamaño', 'adecuado', 'llega', 'perfectas', 'condiciones']",[0. 0. 0. ... 0. 0. 0.]
Súper no deja la piel grasosa y se absorbe rápido,"['súper', 'deja', 'piel', 'grasosa', 'absorbe', 'rápido']",[0. 0. 0. ... 0. 0. 0.]
Igualmente que en la foto Sin duda,"['igualmente', 'foto', 'duda']",[0. 0. 0. ... 0. 0. 0.]
"Excelente producto, super recomendado","['excelente', 'producto', 'super', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
Fue el mismo de la foto,"['mismo', 'foto']",[0. 0. 0. ... 0. 0. 0.]
Todo está Perfecto y lo mejor es el precio,"['perfecto', 'mejor', 'precio']",[0. 0. 0. ... 0. 0. 0.]
"Aunque es pequeño su tamaño, la calidad es excelente. Lo uso para piel grasa, pero me ha servido para todo tipo de piel","['aunque', 'pequeño', 'tamaño', 'calidad', 'excelente', 'uso', 'piel', 'grasa', 'servido', 'tipo', 'piel']",[0. 0. 0. ... 0. 0. 0.]
Muy economico y en cuanto a la calidad y textura muy buena para todo tipo de piel,"['economico', 'cuanto', 'calidad', 'textura', 'buena', 'tipo', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"Es como la 4ta o 5ta vez que lo compro, ligero y con muy buena cobertura.","['ta', 'ta', 'vez', 'compro', 'ligero', 'buena', 'cobertura']",[0. 0. 0. ... 0. 0. 0.]
"10/10 excelente calidad, se absorbe muy bien sin dejar sensación grasosa","['excelente', 'calidad', 'absorbe', 'bien', 'dejar', 'sensación', 'grasosa']",[0. 0. 0. ... 0. 0. 0.]
"Buen tamaño para llevarlo en cartera, tiene rápida absorción, además su textura liviana hace que no se sienta pegajoso en el rostro.","['buen', 'tamaño', 'llevarlo', 'cartera', 'rápida', 'absorción', 'además', 'textura', 'liviana', 'hace', 'sienta', 'pegajoso', 'rostro']",[0. 0. 0. ... 0. 0. 0.]
Me encanto. Es muy ligero y suave.,"['encanto', 'ligero', 'suave']",[0. 0. 0. ... 0. 0. 0.]
"Excelente producto, ligero y no es extra seco al secarse como otros","['excelente', 'producto', 'ligero', 'extra', 'seco', 'secarse']",[0. 0. 0. ... 0. 0. 0.]
el tamaño es practico para llevarlo en la cartera,"['tamaño', 'practico', 'llevarlo', 'cartera']",[0. 0. 0. ... 0. 0. 0.]
El tamaño es adecuado ya que se utiliza una cantidad pequeña y abarca una gran superficie.comoda para transportar en la cartera!,"['tamaño', 'adecuado', 'utiliza', 'cantidad', 'pequeña', 'abarca', 'gran', 'superficiecomoda', 'transportar', 'cartera']",[0.         0.         0.40430035 ... 0.         0.         0.        ]
Buen producto. Deja toque seco y no irrita los ojos. No genera efecto goma de borrar. Es bastante líquido y fácil de aplicar.,"['buen', 'producto', 'deja', 'toque', 'seco', 'irrita', 'ojos', 'genera', 'efecto', 'goma', 'borrar', 'bastante', 'líquido', 'fácil', 'aplicar']",[0. 0. 0. ... 0. 0. 0.]
Es mi favorito. Hidratante y textura ligera. No graso.,"['favorito', 'hidratante', 'textura', 'ligera', 'graso']",[0. 0. 0. ... 0. 0. 0.]
"muy buena calidad, este protector solar es mi FAVORITO","['buena', 'calidad', 'protector', 'solar', 'favorito']",[0. 0. 0. ... 0. 0. 0.]
Lo mejor para el cuidado de la piel,"['mejor', 'cuidado', 'piel']",[0. 0. 0. ... 0. 0. 0.]
Cumplió mis expectativas,"['cumplió', 'expectativas']",[0. 0. 0. ... 0. 0. 0.]
"Producto muy fácil de aplicar, no deja residuos, muy fluido y antibrillo","['producto', 'fácil', 'aplicar', 'deja', 'residuos', 'fluido', 'antibrillo']",[0. 0. 0. ... 0. 0. 0.]
"Corresponde al tamaño, cobertura perfecta para piel mixta a grasa, se puede aplicar bajo y sobre el maquillaje","['corresponde', 'tamaño', 'cobertura', 'perfecta', 'piel', 'mixta', 'grasa', 'puede', 'aplicar', 'bajo', 'maquillaje']",[0. 0. 0. ... 0. 0. 0.]
"Buen calidad, esperaba que sea un poco más grande","['buen', 'calidad', 'esperaba', 'grande']",[0. 0. 0. ... 0. 0. 0.]
"Me gustó mucho su consistencia, no es grasosa no tampoco deja la piel seca como otras marcas","['gustó', 'consistencia', 'grasosa', 'tampoco', 'deja', 'piel', 'seca', 'marcas']",[0. 0. 0. ... 0. 0. 0.]
"Bloqueador ultra ligero, se esparce con facilidad, dejando un tono uniforme, es FPS 50, hay de distintas variedades e incluso con color para quienes quieran que se vea como base de maquillaje. Recomiendo 100% este producto","['bloqueador', 'ultra', 'ligero', 'esparce', 'facilidad', 'dejando', 'tono', 'uniforme', 'fps', 'distintas', 'variedades', 'incluso', 'color', 'quieran', 'vea', 'base', 'maquillaje', 'recomiendo', 'producto']",[0. 0. 0. ... 0. 0. 0.]
"Amo este bloqueador ya que es el tamaño que corresponde, para andar con él para todos lados! A mi piel le hace verse bien, y ademas me pretege","['amo', 'bloqueador', 'tamaño', 'corresponde', 'andar', 'lados', 'piel', 'hace', 'verse', 'bien', 'ademas', 'pretege']",[0. 0. 0. ... 0. 0. 0.]
"Producto de textura ligera, especial para temporada primeravera-verano y cualquier tipo de piel. Con un aroma suave. No irrita los ojos.","['producto', 'textura', 'ligera', 'especial', 'temporada', 'primeraveraverano', 'cualquier', 'tipo', 'piel', 'aroma', 'suave', 'irrita', 'ojos']",[0. 0. 0. ... 0. 0. 0.]
"Me encanta su textura, se absorbe rápidamente, no deja la piel grasosa, es un excelente producto","['encanta', 'textura', 'absorbe', 'rápidamente', 'deja', 'piel', 'grasosa', 'excelente', 'producto']",[0. 0. 0. ... 0. 0. 0.]
"Muy buena textuxa, se absorve rapido","['buena', 'textuxa', 'absorve', 'rapido']",[0. 0. 0. ... 0. 0. 0.]
Muy buen producto y buena oferta,"['buen', 'producto', 'buena', 'oferta']",[0. 0. 0. ... 0. 0. 0.]
"El tamaño corresponde, amo este protector solar, es muy bueno","['tamaño', 'corresponde', 'amo', 'protector', 'solar', 'bueno']",[0. 0. 0. ... 0. 0. 0.]
"De secado rapido y libre de oleosidad, tiene una textura super liquida por lo que hay que tener cuidado al aplicarlo, se siente super ligero en la piel. Me encanto, nada comparado a otros bloqueadores que he probado.","['secado', 'rapido', 'libre', 'oleosidad', 'textura', 'super', 'liquida', 'tener', 'cuidado', 'aplicarlo', 'super', 'ligero', 'piel', 'encanto', 'comparado', 'bloqueadores', 'probado']",[0. 0. 0. ... 0. 0. 0.]
"Isdin, me da mucha confianza, excelentes productos, y en este caso muy buen precio! Tuve que aprovechar ! Gracias Falabella !!","['isdin', 'da', 'mucha', 'confianza', 'excelentes', 'productos', 'caso', 'buen', 'precio', 'aprovechar', 'gracias', 'falabella']",[0. 0. 0. ... 0. 0. 0.]
No queda grasa la piel,"['queda', 'grasa', 'piel']",[0. 0. 0. ... 0. 0. 0.]
Excelente textura y aplicación,"['excelente', 'textura', 'aplicación']",[0. 0. 0. ... 0. 0. 0.]
es muy liviano en la piel y tiene acabado seco !! también muy fluido,"['liviano', 'piel', 'acabado', 'seco', 'fluido']",[0. 0. 0. ... 0. 0. 0.]
"Muy buen producto, cumple con lo que promete, la única observación que le daría es que debe secar muy bien para que no produzca efecto borrador con otros productos","['buen', 'producto', 'cumple', 'promete', 'única', 'observación', 'daría', 'debe', 'secar', 'bien', 'produzca', 'efecto', 'borrador', 'productos']",[0. 0. 0. ... 0. 0. 0.]
"Tamaño corresponde, es fácil de aplicar y secado rápido","['tamaño', 'corresponde', 'fácil', 'aplicar', 'secado', 'rápido']",[0. 0. 0. ... 0. 0. 0.]
"Tamaño igual a la fotos, compacto ideal para andar trayendo en la cartera . Su textura es liviana, fluida y no deja brillo","['tamaño', 'igual', 'fotos', 'compacto', 'ideal', 'andar', 'trayendo', 'cartera', 'textura', 'liviana', 'fluida', 'deja', 'brillo']",[0. 0. 0. ... 0. 0. 0.]
Es igual a la foto y de muy buena calidad cumple con las expectativas,"['igual', 'foto', 'buena', 'calidad', 'cumple', 'expectativas']",[0. 0. 0. ... 0. 0. 0.]
"Excelente calidad, textura ligera, no grasosa","['excelente', 'calidad', 'textura', 'ligera', 'grasosa']",[0. 0. 0. ... 0. 0. 0.]
Excelente bloqueador solar para pieles grasas. Se siente liviano y nada de grasoso.,"['excelente', 'bloqueador', 'solar', 'pieles', 'grasas', 'liviano', 'grasoso']",[0. 0. 0. ... 0. 0. 0.]
"Es pequeño pero no deja graso el rostro, queda natural","['pequeño', 'deja', 'graso', 'rostro', 'queda', 'natural']",[0. 0. 0. ... 0. 0. 0.]
"Igual a la foto, la cantidad indicada. Entrega rápida","['igual', 'foto', 'cantidad', 'indicada', 'entrega', 'rápida']",[0. 0. 0. ... 0. 0. 0.]
"muy buen producto, lo recomiendo","['buen', 'producto', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
"Buen producto, igual a la foto","['buen', 'producto', 'igual', 'foto']",[0. 0. 0. ... 0. 0. 0.]
"Amo este bloqueador, tengo la piel seca y atopica y me deja la piel hermosa y radiante","['amo', 'bloqueador', 'piel', 'seca', 'atopica', 'deja', 'piel', 'hermosa', 'radiante']",[0. 0. 0. ... 0. 0. 0.]
"Se absorbe en poco tiempo y no deja la piel oleosa. Además, viene en un envase práctico para llevar.","['absorbe', 'tiempo', 'deja', 'piel', 'oleosa', 'además', 'viene', 'envase', 'práctico', 'llevar']",[0. 0. 0. ... 0. 0. 0.]
"Es bastante ligero, absorbe súper rápido , deja la piel iluminada , recomendado .","['bastante', 'ligero', 'absorbe', 'súper', 'rápido', 'deja', 'piel', 'iluminada', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
Para todo tipo de piel y en especial para piel grasa,"['tipo', 'piel', 'especial', 'piel', 'grasa']",[0. 0. 0. ... 0. 0. 0.]
"EL PRODUCTO ES MUY BUENO, PERO SI DEJA ALGO BRILLOSA LA CARA, Y DESPUES DE UN TIEMPO SE NOTA MAS EL BRILLO, AL MENOS EN MI QUE SOY PIEL MIXTA.","['producto', 'bueno', 'si', 'deja', 'brillosa', 'cara', 'despues', 'tiempo', 'nota', 'mas', 'brillo', 'menos', 'piel', 'mixta']",[0. 0. 0. ... 0. 0. 0.]
Es muy liquido que se siente muy bien en la piel,"['liquido', 'bien', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"Hablan maravillas de este fotoprotector! ojo que dice ser para pieles mixtas, es súper líquido","['hablan', 'maravillas', 'fotoprotector', 'ojo', 'dice', 'ser', 'pieles', 'mixtas', 'súper', 'líquido']",[0. 0. 0. ... 0. 0. 0.]
"Súper bueno, es el que más me gusta pero igualmente deja como efecto goma de borrar con el maquillaje, pero nada muy dramático.","['súper', 'bueno', 'gusta', 'igualmente', 'deja', 'efecto', 'goma', 'borrar', 'maquillaje', 'dramático']",[0. 0. 0. ... 0. 0. 0.]
Producto de buena calidad,"['producto', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
"Compré el mismo en una farmacia, el que venden acá, es café y el que compré en farmacia es blanco, (no compré el con color), probablemente el producto ya había sido abierto y como dura 6 meses abierto se oxido, ahora se que el que vendió falabella no estaba en buen estado.","['compré', 'mismo', 'farmacia', 'venden', 'acá', 'café', 'compré', 'farmacia', 'blanco', 'compré', 'color', 'probablemente', 'producto', 'sido', 'abierto', 'dura', 'meses', 'abierto', 'oxido', 'ahora', 'vendió', 'falabella', 'buen']",[0. 0. 0. ... 0. 0. 0.]
"El producto llegó abierto parecía q ya lo habían usado, su textura es diferente a cómo era, es muy liquida","['producto', 'llegó', 'abierto', 'parecía', 'q', 'usado', 'textura', 'diferente', 'cómo', 'liquida']",[0. 0. 0. ... 0. 0. 0.]
"No es original, demasiado líquido, yo soy usuario de ese producto y definitivamente no es, o está alterado.","['original', 'demasiado', 'líquido', 'usuario', 'producto', 'definitivamente', 'alterado']",[0. 0. 0. ... 0. 0. 0.]
"El producto es falso. Siempre compro este protector en la farmacia, conozco su consistencia y esta es líquida. Aproveché el precio en cyber y lo compré . Diferencias con el original que dice vencimiento de 6 meses cuando el original es 12. El producto es más líquido y tiene un aroma que no es el del producto original. La caja también tiene mala impresión .","['producto', 'falso', 'siempre', 'compro', 'protector', 'farmacia', 'conozco', 'consistencia', 'líquida', 'aproveché', 'precio', 'cyber', 'compré', 'diferencias', 'original', 'dice', 'vencimiento', 'meses', 'original', 'producto', 'líquido', 'aroma', 'producto', 'original', 'caja', 'mala', 'impresión']",[0. 0. 0. ... 0. 0. 0.]
"Compré un colchón doble de la marca Bestway y me parece genial, muy práctico para los días de visita","['compré', 'colchón', 'doble', 'marca', 'bestway', 'parece', 'genial', 'práctico', 'días', 'visita']",[0. 0. 0. ... 0. 0. 0.]
"Es súper bueno, lo tenía anteriormente y ahora con descuento, que mejor","['súper', 'bueno', 'anteriormente', 'ahora', 'descuento', 'mejor']",[0. 0. 0. ... 0. 0. 0.]
